grade,n,api,sulfur,vac_resid,distance,landlocked,mean_actual,mean_pred,resid,rmse
Olmeca,13,38.0,0.8,15,short,0,2.0484615384615386,-0.5181593244284681,2.566620862890007,3.2612284163709706
Grane,75,19.0,0.65,33,short,0,0.06130296105146409,-2.4139170182553444,2.4752199793068086,3.216173700662284
Oseberg,75,37.6,0.27,13,short,0,1.9379784663658142,-0.15827369846863776,2.096252164834452,2.8515675034638077
Heidrun,73,28.5,0.5,21,short,0,-0.17120085300320143,-1.8729582571321977,1.7017574041289965,3.4514705450707264
Ekofisk,74,37.5,0.25,13,short,0,1.7540540529263986,0.14720461600969065,1.606849436916708,2.513329781904041
Alvheim,74,38.4,0.15,13,short,0,2.9209830759444366,1.533885776778585,1.3870972991658517,2.7319868474492757
Lloydminster,105,20.0,3.5,49,long,1,-20.079428571428572,-21.303254017183875,1.2238254457553008,6.741716215932211
Statfjord,75,38.4,0.27,13,short,0,0.7025003701297462,-0.4238253999646774,1.1263257700944234,2.2815508906301964
Basrah Light,142,30.5,2.9,27,long,0,-3.277464788732394,-4.345430177047725,1.067965388315331,4.305720860112119
Forcados,5,31.0,0.18,15,medium,0,8.354,7.291345621337707,1.0626543786622915,5.482547628049345
Bonny Light,36,33.4,0.13,11,medium,0,4.76638888888889,3.748310551342172,1.018078337546718,3.5313754752842144
Goliat,55,34.0,0.27,17,short,0,2.0119029090909093,1.054726343518881,0.9571765655720279,2.7323409832105967
Martin Linge,30,41.0,0.04,9,short,0,1.0666666666666667,0.17081406451901646,0.8958526021476503,2.2751156142548776
Marlim,36,19.2,0.78,32,long,0,-3.0877777777777773,-3.8696972744318714,0.7819194966540944,3.1845560893782467
Gullfaks,75,35.4,0.4,17,short,0,1.7240996032052716,1.0452416535818763,0.6788579496233951,2.2700045534463738
Canadian Light Sour,183,35.0,1.2,17,long,1,-9.413715846994537,-10.051654895419967,0.6379390484254304,5.910347582599632
Troll,75,28.3,0.31,23,short,0,2.693333336512248,2.1243082357638317,0.569025100748416,2.1921846866339916
Merey,60,16.0,2.45,55,short,0,-7.818666666666667,-8.226451372811242,0.407784706144576,3.199968619920608
Norne,63,32.0,0.16,18,short,0,1.5008158726707337,1.2437385680908468,0.257077304579887,2.510507578888578
Arab Light,197,33.0,1.77,22,long,0,-1.389289340101523,-1.6187840537209168,0.22949471361939397,4.652531701599124
Draugen,11,39.5,0.13,12,short,0,0.1318181818181818,-0.08422385942162869,0.2160420412398105,1.119238256083594
WTI,215,39.6,0.24,12,short,1,-4.802651162790697,-4.828706977814758,0.026055815024060985,4.985401779969283
Napo,99,19.5,2.03,34,medium,0,-7.132020202020201,-7.15141394665925,0.01939374463904847,3.2084991947272345
Saharan Blend,46,45.5,0.09,8,short,0,2.483478260869565,2.4834782608616606,7.904285921441719e-12,2.9514229926483795
Oriente,190,24.0,1.42,33,medium,0,-3.829684210526316,-3.700910092805328,-0.12877411772098804,3.5028172852627697
Arab Medium,164,30.4,2.54,25,long,0,-3.476768292682927,-3.3285202528655184,-0.14824803981740814,4.798068933301621
Maya,215,21.1,3.3,53,short,0,-9.17567441860465,-8.880627191582107,-0.29504722702254405,3.304614163222784
Asgard,75,49.0,0.13,7,short,0,-3.7180613353598915,-3.411307142059214,-0.3067541933006774,3.097662085844722
Dubai Fateh,215,31.0,2.0,25,long,0,-2.185363709899808,-1.7091997111137442,-0.47616399878606386,2.4438553659203244
Qua Iboe,39,36.1,0.1,10,medium,0,4.593333333333335,5.091204881948968,-0.49787154861563354,3.461931643033069
Volve,5,28.0,0.18,22,short,0,-3.170679974555969,-2.5426476389574737,-0.6280323355984953,2.5572936181843273
Arab Extra Light,98,37.2,1.15,15,long,0,-0.6375510204081638,0.07850617799504994,-0.7160571984032137,3.0705063070413448
Bow River Heavy,206,22.0,2.8,42,long,1,-18.806699029126214,-17.588997485979522,-1.2177015431466909,7.28215166150743
Jotun,20,25.0,0.2,21,short,0,-0.8450399989196657,0.4103675217853267,-1.2554075207049924,2.7270042449666154
Knarr,28,39.0,0.13,12,short,0,-2.494642857142857,-0.7592918807098968,-1.7353509764329602,3.007880968760541
Skarv,59,38.0,0.04,11,short,0,-2.1584442711864407,-0.3947345508689234,-1.7637097203175172,2.9213286431339913
Gina Krog,40,36.0,0.04,11,short,0,-1.85,-0.02461235466478629,-1.8253876453352138,3.392119440504976
Njord,1,35.0,0.21,15,short,0,-0.35,2.317844223305363,-2.667844223305363,2.667844223305363
Johan Sverdrup,39,28.0,0.8,25,short,0,-0.782051282051282,2.2804513410726353,-3.062502623123917,3.5960563050549257
Yme,13,32.0,0.4,18,short,0,-2.64,0.8618545162285621,-3.501854516228562,4.316209375458182
Balder,54,23.0,0.21,22,short,0,-3.682478907407407,-0.05288708173810552,-3.629591825669302,4.20758550584621
Gudrun,65,39.0,0.3,12,short,0,-4.916921538461538,0.07157763171587764,-4.988499170177416,6.379717052465389
Cabinda,3,32.0,0.17,15,long,0,-2.976666666666669,4.539033883131643,-7.515700549798313,7.860581276060389
