field,api_gravity,sulfur_pct,mean_diff,predicted,residual,n_obs
ALVHEIM,38.4,0.15,2.7436462512754076,-0.01639064840291191,2.7600368996783193,94
TROLL,28.3,0.31,2.6260416691501933,0.5212635010467549,2.1047781681034383,96
MARTIN LINGE,41.0,0.04,1.3542553191489362,-0.7265653727790677,2.080820691928004,47
OSEBERG,37.6,0.27,1.9794566839730112,0.2816633348353863,1.697793349137625,95
GRANE,19.0,0.65,0.274712863987998,-1.323517854831201,1.5982307188191989,95
EKOFISK,37.5,0.25,1.7861702118782288,0.269349625690953,1.5168205861872757,94
GOLIAT,34.0,0.27,1.9246552542372881,0.6494012979072443,1.2752539563300438,59
GULLFAKS,35.4,0.4,1.6771611483374516,0.7301637938650426,0.946997354472409,96
NORNE,32.0,0.16,1.356868492852825,0.5402448758135053,0.8166236170393196,73
STATFJORD,38.4,0.27,0.6267108185234838,0.14910889919486728,0.4776019193286165,95
DRAUGEN,39.5,0.13,-0.32,-0.2564194702645002,-0.06358052973549982,20
ÅSGARD,49.0,0.13,-3.764110418249915,-3.54545878684286,-0.218651631407055,96
NJORD,35.0,0.21,0.15263157894736845,0.5020505869550129,-0.34941900800764447,19
JOTUN,25.0,0.2,-0.8450399989196657,-0.1654873370148826,-0.6795526619047831,20
HEIDRUN,28.5,0.5,-0.050507045417379826,0.805622084272012,-0.8561291296893918,94
JOHAN SVERDRUP,28.0,0.8,-0.5661016949152542,1.1614106116669627,-1.7275123065822169,59
GINA KROG,36.0,0.04,-1.7569767441860464,0.17410849811511017,-1.9310852423011566,43
SKARV,38.0,0.04,-2.1084255211267604,-0.0995106724734389,-2.0089148486533217,71
KNARR,39.0,0.13,-2.6655172413793102,-0.1555207859539415,-2.5099964554253686,29
YME,32.0,0.4,-1.7603225806451612,0.8712439710090637,-2.631566551654225,31
BALDER,23.0,0.21,-3.605971855263158,-0.629046478125569,-2.9769253771375888,76
VOLVE,28.0,0.18,-3.170679974555969,0.30632961574510364,-3.4770095903010727,5
GUDRUN,39.0,0.3,-5.1303559523809525,0.07893690647624563,-5.209292858857198,84
